method;array_type;array_length;time_nanoseconds
MERGE_SORT;1;50;2620
MERGE_SORT;1;50;2662
MERGE_SORT;1;50;2684
MERGE_SORT;1;50;2766
MERGE_SORT;1;50;2728
MERGE_SORT;1;50;2566
MERGE_SORT;1;50;2722
MERGE_SORT;1;50;2647
MERGE_SORT;1;50;2597
MERGE_SORT;1;50;2669
MERGE_SORT;1;50;2629
MERGE_SORT;1;50;2623
MERGE_SORT;1;50;2581
MERGE_SORT;1;50;2683
MERGE_SORT;1;50;2647
MERGE_SORT;1;50;2682
MERGE_SORT;1;50;2659
MERGE_SORT;1;50;2559
MERGE_SORT;2;50;2453
MERGE_SORT;2;50;2033
MERGE_SORT;2;50;1793
MERGE_SORT;2;50;1877
MERGE_SORT;2;50;1941
MERGE_SORT;2;50;1856
MERGE_SORT;2;50;1926
MERGE_SORT;2;50;1910
MERGE_SORT;2;50;1977
MERGE_SORT;2;50;1696
MERGE_SORT;2;50;1800
MERGE_SORT;2;50;1972
MERGE_SORT;2;50;1734
MERGE_SORT;2;50;1779
MERGE_SORT;2;50;1792
MERGE_SORT;2;50;1941
MERGE_SORT;2;50;1811
MERGE_SORT;2;50;1915
MERGE_SORT;2;50;1779
MERGE_SORT;2;50;1819
MERGE_SORT;2;50;1905
MERGE_SORT;2;50;1765
MERGE_SORT;2;50;1810
MERGE_SORT;2;50;1761
MERGE_SORT;2;50;1746
MERGE_SORT;2;50;1858
MERGE_SORT;2;50;1877
MERGE_SORT;2;50;1878
MERGE_SORT;2;50;1846
MERGE_SORT;2;50;1873
MERGE_SORT;2;50;1892
MERGE_SORT;2;50;1744
MERGE_SORT;2;50;1939
MERGE_SORT;2;50;1830
MERGE_SORT;2;50;1713
MERGE_SORT;2;50;1814
MERGE_SORT;2;50;1773
MERGE_SORT;2;50;1805
MERGE_SORT;2;50;1794
MERGE_SORT;2;50;1739
MERGE_SORT;2;50;1924
MERGE_SORT;2;50;1833
MERGE_SORT;2;50;1874
MERGE_SORT;2;50;1871
MERGE_SORT;2;50;1801
MERGE_SORT;2;50;1758
MERGE_SORT;2;50;1849
MERGE_SORT;2;50;1830
MERGE_SORT;2;50;1718
MERGE_SORT;2;50;1768
MERGE_SORT;3;50;2502
MERGE_SORT;3;50;1823
MERGE_SORT;3;50;1863
MERGE_SORT;3;50;1703
MERGE_SORT;3;50;1711
MERGE_SORT;3;50;1741
MERGE_SORT;3;50;1771
MERGE_SORT;3;50;1700
MERGE_SORT;3;50;1712
MERGE_SORT;3;50;1696
MERGE_SORT;3;50;1723
MERGE_SORT;3;50;1739
MERGE_SORT;3;50;1675
MERGE_SORT;3;50;1693
MERGE_SORT;3;50;1674
MERGE_SORT;3;50;1691
MERGE_SORT;3;50;1710
MERGE_SORT;3;50;1709
MERGE_SORT;3;50;1757
MERGE_SORT;3;50;1681
MERGE_SORT;3;50;1711
MERGE_SORT;3;50;1668
MERGE_SORT;3;50;1719
MERGE_SORT;3;50;1684
MERGE_SORT;3;50;1811
MERGE_SORT;3;50;1703
MERGE_SORT;3;50;1691
MERGE_SORT;3;50;1671
MERGE_SORT;3;50;1666
MERGE_SORT;3;50;1708
MERGE_SORT;3;50;1731
MERGE_SORT;3;50;1722
MERGE_SORT;3;50;1675
MERGE_SORT;3;50;1703
MERGE_SORT;3;50;1695
MERGE_SORT;3;50;1685
MERGE_SORT;3;50;1800
MERGE_SORT;3;50;1691
MERGE_SORT;3;50;1740
MERGE_SORT;3;50;2225
MERGE_SORT;3;50;2237
MERGE_SORT;3;50;1741
MERGE_SORT;3;50;1797
MERGE_SORT;3;50;1690
MERGE_SORT;3;50;1715
MERGE_SORT;3;50;1750
MERGE_SORT;3;50;1875
MERGE_SORT;3;50;1674
MERGE_SORT;3;50;1847
MERGE_SORT;3;50;1655
QUICK_SORT;0;50;3274
QUICK_SORT;0;50;2642
QUICK_SORT;0;50;2781
QUICK_SORT;0;50;2692
QUICK_SORT;0;50;2886
QUICK_SORT;0;50;2921
QUICK_SORT;0;50;3033
QUICK_SORT;0;50;2926
QUICK_SORT;0;50;2854
QUICK_SORT;0;50;2862
QUICK_SORT;0;50;2722
QUICK_SORT;0;50;2966
QUICK_SORT;0;50;2677
QUICK_SORT;0;50;2953
QUICK_SORT;0;50;2818
QUICK_SORT;0;50;2771
QUICK_SORT;0;50;2915
QUICK_SORT;0;50;2586
QUICK_SORT;0;50;3139
QUICK_SORT;0;50;2841
QUICK_SORT;0;50;2810
